instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,season_name,workingday_status,holiday_status,temp_actual,temp_group
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Winter,Day-off,Non-holiday,8.175849,Cold
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Winter,Day-off,Non-holiday,9.083466000000001,Cold
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Winter,Workday,Non-holiday,1.229108,Cold
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Winter,Workday,Non-holiday,1.4000000000000004,Cold
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Winter,Workday,Non-holiday,2.6669789999999995,Cold
6,2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Winter,Workday,Non-holiday,1.6043559999999992,Cold
7,2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,Winter,Workday,Non-holiday,1.2365340000000007,Cold
8,2011-01-08,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68,891,959,Winter,Day-off,Non-holiday,-0.24499999999999922,Very Cold
9,2011-01-09,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,Winter,Day-off,Non-holiday,-1.4983489999999993,Very Cold
10,2011-01-10,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321,Winter,Workday,Non-holiday,-0.9108490000000007,Very Cold
11,2011-01-11,1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43,1220,1263,Winter,Workday,Non-holiday,-0.0527230000000003,Very Cold
12,2011-01-12,1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,25,1137,1162,Winter,Workday,Non-holiday,0.11816899999999997,Cold
13,2011-01-13,1,0,1,0,4,1,1,0.165,0.150883,0.470417,0.301,38,1368,1406,Winter,Workday,Non-holiday,-0.24499999999999922,Very Cold
14,2011-01-14,1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,54,1367,1421,Winter,Workday,Non-holiday,-0.43910999999999945,Very Cold
15,2011-01-15,1,0,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,222,1026,1248,Winter,Day-off,Non-holiday,2.9666510000000006,Cold
16,2011-01-16,1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,251,953,1204,Winter,Day-off,Non-holiday,2.888349,Cold
17,2011-01-17,1,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,117,883,1000,Winter,Day-off,Holiday,0.264151,Cold
18,2011-01-18,1,0,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,9,674,683,Winter,Workday,Non-holiday,2.1833489999999998,Cold
19,2011-01-19,1,0,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,78,1572,1650,Winter,Workday,Non-holiday,5.732177999999999,Cold
20,2011-01-20,1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,83,1844,1927,Winter,Workday,Non-holiday,4.298349,Cold
21,2011-01-21,1,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,75,1468,1543,Winter,Workday,Non-holiday,0.34249999999999936,Cold
22,2011-01-22,1,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,93,888,981,Winter,Day-off,Non-holiday,-5.2208711999999995,Very Cold
23,2011-01-23,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986,Winter,Day-off,Non-holiday,-3.4634801,Very Cold
24,2011-01-24,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416,Winter,Workday,Non-holiday,-3.4226089,Very Cold
25,2011-01-25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985,Winter,Workday,Non-holiday,2.5034660000000013,Cold
26,2011-01-26,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34,472,506,Winter,Workday,Non-holiday,2.2225,Cold
27,2011-01-27,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,15,416,431,Winter,Workday,Non-holiday,1.165000000000001,Cold
28,2011-01-28,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167,Winter,Workday,Non-holiday,1.563466,Cold
29,2011-01-29,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098,Winter,Day-off,Non-holiday,1.2365340000000007,Cold
30,2011-01-30,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096,Winter,Day-off,Non-holiday,2.176534,Cold
31,2011-01-31,1,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,42,1459,1501,Winter,Workday,Non-holiday,0.49915099999999946,Cold
32,2011-02-01,1,0,2,0,2,1,2,0.192174,0.23453,0.829565,0.053213,47,1313,1360,Winter,Workday,Non-holiday,1.032178,Cold
33,2011-02-02,1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,72,1454,1526,Winter,Workday,Non-holiday,4.220000000000001,Cold
34,2011-02-03,1,0,2,0,4,1,1,0.186957,0.177878,0.437826,0.277752,61,1489,1550,Winter,Workday,Non-holiday,0.7869790000000005,Cold
35,2011-02-04,1,0,2,0,5,1,2,0.211304,0.228587,0.585217,0.127839,88,1620,1708,Winter,Workday,Non-holiday,1.9312880000000003,Cold
36,2011-02-05,1,0,2,0,6,0,2,0.233333,0.243058,0.929167,0.161079,100,905,1005,Winter,Day-off,Non-holiday,2.9666510000000006,Cold
37,2011-02-06,1,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,354,1269,1623,Winter,Day-off,Non-holiday,5.434151,Cold
38,2011-02-07,1,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.0454083,120,1592,1712,Winter,Workday,Non-holiday,4.768348999999999,Cold
39,2011-02-08,1,0,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,64,1466,1530,Winter,Workday,Non-holiday,2.3791510000000002,Cold
40,2011-02-09,1,0,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,53,1552,1605,Winter,Workday,Non-holiday,-1.6651990000000003,Very Cold
41,2011-02-10,1,0,2,0,4,1,1,0.144348,0.149548,0.437391,0.221935,47,1491,1538,Winter,Workday,Non-holiday,-1.2156440000000002,Very Cold
42,2011-02-11,1,0,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,149,1597,1746,Winter,Workday,Non-holiday,0.887277000000001,Cold
43,2011-02-12,1,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.203367,288,1184,1472,Winter,Day-off,Non-holiday,2.4574999999999996,Cold
44,2011-02-13,1,0,2,0,0,0,1,0.316522,0.324113,0.457391,0.260883,397,1192,1589,Winter,Day-off,Non-holiday,6.876534000000001,Cold
45,2011-02-14,1,0,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,208,1705,1913,Winter,Workday,Non-holiday,11.504999999999999,Normal
